Distrito,Año,Escenario,Poblacion ajustada_agua,Pob ajustada_Campo,,,
Arequipa,2023,Base,54362,,,883089,
Arequipa,2024,Base,54183,,,,
Arequipa,2025,Base,54004,,,,
Arequipa,2026,Base,53824,,,,
Arequipa,2027,Base,53645,,,,
Arequipa,2028,Base,53466,,,,
Arequipa,2029,Base,53287,,,,
Arequipa,2030,Base,53108,,,,
Arequipa,2031,Base,52929,,,,
Arequipa,2032,Base,52750,,,,
Arequipa,2033,Base,52570,,,,
Arequipa,2034,Base,52391,,,,
Arequipa,2035,Base,52212,,,,
Arequipa,2036,Base,52033,,,,
Arequipa,2037,Base,51854,,,,
Arequipa,2038,Base,51674,,,,
Arequipa,2039,Base,51495,,,,
Arequipa,2040,Base,51316,,,,
Arequipa,2041,Base,51137,,,,
Arequipa,2042,Base,50958,,,,
Arequipa,2043,Base,50779,,,,
Arequipa,2044,Base,50600,,,,
Arequipa,2045,Base,50420,,,,
Arequipa,2046,Base,50241,,,,
Arequipa,2047,Base,50062,,,,
Arequipa,2048,Base,49883,,,,
Arequipa,2049,Base,49704,,,,
Arequipa,2050,Base,49524,,,,
Cayma,2023,Base,110831,,,,
Cayma,2024,Base,111064,,,,
Cayma,2025,Base,111296,,,,
Cayma,2026,Base,111526,,,,
Cayma,2027,Base,111753,,,,
Cayma,2028,Base,111979,,,,
Cayma,2029,Base,112202,,,,
Cayma,2030,Base,112424,,,,
Cayma,2031,Base,112644,,,,
Cayma,2032,Base,112862,,,,
Cayma,2033,Base,113078,,,,
Cayma,2034,Base,113292,,,,
Cayma,2035,Base,113504,,,,
Cayma,2036,Base,113714,,,,
Cayma,2037,Base,113922,,,,
Cayma,2038,Base,114129,,,,
Cayma,2039,Base,114334,,,,
Cayma,2040,Base,114536,,,,
Cayma,2041,Base,114737,,,,
Cayma,2042,Base,114936,,,,
Cayma,2043,Base,115133,,,,
Cayma,2044,Base,115329,,,,
Cayma,2045,Base,115522,,,,
Cayma,2046,Base,115714,,,,
Cayma,2047,Base,115904,,,,
Cayma,2048,Base,116092,,,,
Cayma,2049,Base,116279,,,,
Cayma,2050,Base,116463,,,,
Cerro Colorado,2023,Base,247274,,,,
Cerro Colorado,2024,Base,249062,,,,
